0,1,2,3,4
1.7704207411903379e-07,5.908482884017843e-10,2.1650565686688178e-07,2.1271310386270475e-05,3.485582149153447e-06
4.994855773081393e-07,1.0928957553078544e-06,1.1396683858343559e-06,1.7876777180047165e-05,2.2944393661257796e-06
1.6775266579912297e-07,4.994334031924203e-06,2.1986580659165223e-06,1.5207086533514566e-05,4.095032976161045e-06
1.1881659543257406e-06,4.708131707598852e-06,2.67307681007518e-06,1.1277460912739147e-05,3.567205067671926e-06
2.465421299120947e-06,8.333887887634708e-07,1.5856101327752986e-08,1.9912676474924598e-07,6.287343262539407e-06
7.638125031490258e-06,8.432628672384401e-07,1.5072307842420787e-07,8.621164022926949e-06,7.625080933067933e-06
1.9377079385712592e-06,7.809751695585695e-07,9.234509302126656e-06,2.776712818968735e-06,5.408506145946901e-06
2.0817579332865338e-06,2.4288405947313283e-06,6.579680509020035e-06,4.4546392043512273e-07,1.1078111801520981e-07
6.2384437327953666e-06,4.539483200805393e-10,1.1059487375541416e-10,8.982368795948492e-06,6.535277904875449e-06
2.400990471688577e-06,3.3927002699280175e-06,1.7623675934862653e-11,1.3916375652119413e-05,7.755053971360897e-06
3.816303724578792e-06,5.6436321718199105e-11,2.9292244570468015e-06,2.310665833456663e-05,3.562007969678058e-06
1.2786656376161795e-06,1.6177284323355248e-06,4.060496085154749e-06,1.5874218424978914e-05,7.196061646316589e-07
8.085751335272038e-06,1.0067143886004864e-06,1.0529257198260218e-06,1.8499189581979124e-05,5.944832557981665e-06
5.316828569989075e-07,2.325898660004989e-06,1.31444285440699e-07,1.615592134019769e-05,8.859369328148577e-06
1.6160158590790283e-06,5.840826571762556e-10,2.733742172747782e-06,2.1220620903438856e-05,3.354388584039281e-06
2.663287353351468e-09,2.9515601324756044e-06,2.1746684559733713e-09,1.0606292290218477e-05,1.0519090327058918e-05
4.450360571527935e-06,2.8684590401832033e-06,2.4459166851789475e-07,2.8512050075256493e-05,8.197645882170067e-08
6.640754672627555e-08,5.076464367122435e-06,4.3693504096214515e-09,3.1451715637697675e-05,2.3114664303988227e-06
1.5774208887139009e-06,1.935254800337746e-07,3.308850519448221e-06,1.9864937542014643e-05,1.0155707860201817e-05
2.953048765565111e-06,1.217638741451834e-06,9.697402087431273e-06,1.6290269412397378e-05,4.296068777106373e-06
1.1602978664929729e-07,6.75894247623096e-07,1.460715021517437e-07,1.7717549676710548e-05,1.0417899277200717e-05
1.6593131771855186e-06,3.075236765669377e-06,3.2902934524577434e-06,2.1296306229965177e-05,5.916354466323994e-06
5.467186906697594e-06,2.3070338639873136e-08,2.293326100162263e-12,1.9587349277514603e-05,6.4567471712739555e-06
2.2910753949185303e-12,8.042786370263466e-07,4.700262706140513e-06,1.7786769008979412e-05,1.364301731599146e-06
5.79767215755047e-06,3.2670640070540344e-06,1.0998324673678922e-11,7.537447417541528e-06,1.3481590657308415e-05
6.435840730191428e-06,6.276341984856665e-12,2.1894000369918907e-06,2.062832572067989e-05,1.0736507108455823e-06
1.8828245357740962e-06,8.19554861965599e-07,1.373372413881675e-06,2.0831225040886544e-05,1.0362971478202379e-05
6.226876164121378e-08,3.882944193642004e-09,4.66320546935319e-07,1.4701358109713631e-05,1.2323721413541186e-05
1.7635931509049625e-06,1.5943459825018097e-12,4.6345877903332604e-10,2.6895330101457364e-05,4.7139171233750213e-07
9.35437569336573e-06,6.00052221557297e-13,3.634092238604851e-07,2.3800580201093105e-05,8.237908994429744e-06
9.500039996304217e-09,1.7279099387905843e-08,1.8171763460874541e-06,2.045819530762305e-05,8.998255052022817e-06
6.318991654533705e-07,2.0744383346172663e-06,1.9075914122587486e-06,2.4158541152812456e-05,1.2664282798090051e-05
1.2155419915736957e-08,1.2410719339510658e-06,3.7539274670288745e-06,2.517229693797311e-05,1.2663616065470726e-07
1.8260117884192643e-12,9.359515620176335e-15,5.593123850402039e-06,1.5570614970626287e-05,2.317244921602606e-06
3.4973098826427396e-06,4.943523230631541e-06,1.4257854179114182e-06,1.1368634928688393e-05,5.668768296796725e-06
1.9264827720713056e-08,1.136758699994108e-06,3.2863865419146126e-07,1.5931672389389623e-05,1.3416570137522339e-05
9.734571288014908e-06,3.708185943322585e-06,2.043351569505124e-06,9.943226735362808e-06,5.776727284857595e-06
4.482931970345101e-06,7.497998474634778e-08,1.5575027480546148e-11,2.3250755771402386e-05,1.0467810690780745e-07
2.661263509238708e-10,4.4572528109946966e-07,6.472908708029429e-06,8.442558946345463e-06,3.2177880294261215e-07
1.3097352479365984e-08,3.8255253515113284e-07,6.764423850082722e-12,1.951603609758693e-05,1.199740448983293e-05
4.77536576840039e-06,4.355197807671238e-06,1.4631609555542968e-14,1.7579013698440205e-05,9.539663282157136e-07
1.783832098366377e-07,2.1913426255532424e-09,1.9135809987577046e-12,3.0030107194113858e-05,1.8974030584991948e-06
1.137657527030012e-05,1.0931331788103319e-14,4.392047269046178e-06,5.472789862131406e-06,8.159722541678575e-06
5.4500103322769185e-08,1.4485622129892743e-06,6.554231163830189e-07,3.285661686266868e-05,1.534311474339329e-07
3.7031475871853205e-09,9.325005238030873e-11,5.134886041220331e-06,2.2348867136770995e-05,2.9924096253899414e-06
1.4654240017777684e-06,1.7585781832443348e-06,4.4879900002154445e-09,1.5721343340066207e-05,1.1879508504436581e-05
