0,1,2,3,4
2.2553423800880654e-06,1.0301887831933272e-05,2.9133627399394615e-07,8.429588629407678e-07,1.574590106126722e-11
1.8014269875212454e-11,2.35710535585414e-05,3.15543355600969e-11,3.4532148823924012e-12,1.8321320052627604e-06
3.7391362268910986e-11,2.2264386591506084e-05,5.568707435987509e-11,3.051329952650935e-08,9.848489510031628e-08
1.4979241173153418e-11,1.6817679693930572e-05,1.470843598992695e-13,2.762515391573899e-06,4.286326527057519e-06
3.595724177348961e-06,1.0231227222220403e-05,8.341046438863924e-07,9.627166642806584e-17,1.0071945866581214e-15
4.979564316796053e-06,2.3633388645857212e-05,3.4861873707017904e-06,1.0492309154329019e-06,4.7172937353067345e-07
6.7156682619515315e-15,1.2529188458841824e-05,5.7519723079709455e-15,2.5574080487248326e-06,3.4166830130811496e-08
4.927426792177088e-07,2.255088730422379e-05,7.788318867345787e-07,7.5839671946403e-09,3.798928862408924e-07
1.9826996984933355e-07,1.9438770629993998e-05,1.3700631244998228e-06,1.6794368390251297e-07,1.8266588043530455e-06
5.75548565319773e-07,2.6644644758614613e-05,2.350014841898304e-08,1.7366468842841994e-07,2.4335371723441736e-08
3.3140539165092203e-09,1.6849537002756943e-05,1.3671266335393473e-09,2.1861588104815554e-06,1.16602373599496e-06
3.6419223859900603e-07,1.6258924605818218e-05,4.4956487897697974e-08,4.250278816896655e-06,3.1312878619609003e-06
4.085804273688614e-09,2.254326786091041e-05,5.787150086623486e-10,2.1999375567261514e-06,8.395718156849123e-07
1.627569641897765e-15,1.7589064676900375e-05,2.785532187769167e-17,2.359641052106057e-08,3.2977411606806473e-06
7.567932686802347e-22,1.7302290403334153e-05,1.264121636227567e-25,1.640430939938788e-06,5.788841714494169e-10
4.5172591657963147e-07,2.731832323528155e-05,5.054913386608123e-09,1.9520811497630103e-06,1.4344965445236395e-06
1.1964240322140494e-14,1.4491740974791042e-05,3.996374305689371e-16,8.510890291084543e-08,3.5988198761870825e-07
1.5533511691510897e-15,1.6149170505204107e-05,1.4706494300951593e-18,6.390769787104882e-07,4.533038663772787e-12
1.4797709291886805e-06,1.0904864360087803e-05,1.2281995171303086e-06,8.452174868730822e-09,1.807858496216197e-08
1.024595743777547e-06,1.1541170190534614e-05,1.3540610111837447e-06,4.417116719082195e-06,2.71152979665206e-10
2.038307636883832e-22,1.9023747229452403e-05,2.5224272879701274e-25,4.716381237403077e-10,6.246273801557462e-13
7.542389946375869e-22,2.7197029006735318e-05,2.2041382731329385e-25,1.2724219225337081e-10,1.1344416154724515e-14
9.904654758077414e-16,1.5607366873406036e-05,5.748976038090012e-17,5.729867817185698e-07,4.812837711420212e-07
2.8261788056824618e-14,1.725878822440076e-05,4.445046572206769e-15,1.0049721869471048e-13,9.4752052364842e-10
8.151128810256059e-10,1.819310454304923e-05,2.640560600912525e-10,2.4157297856551944e-07,4.832564310628583e-07
4.08874112277768e-15,1.5576852732948846e-05,5.878596852704363e-18,1.3182197634361616e-06,5.751972258146462e-07
1.1338920003658717e-06,1.4599032700442448e-05,1.0878777043700058e-07,1.247961095568779e-06,4.366226002205011e-07
1.1463510634270762e-13,1.9664537832080236e-05,3.1648272198340993e-15,2.208507362037363e-09,4.56689048539333e-09
5.319016904823144e-06,6.205173671996835e-06,5.489904376278765e-07,4.811156780519035e-15,5.027928812298299e-07
1.9791042459231937e-07,1.999029239959122e-05,4.1962082598620064e-07,1.123182101546829e-07,9.488765816152738e-08
2.7570658035867397e-09,2.3579878970430402e-05,1.4396591945933404e-10,3.20082142236027e-08,1.0574601350638211e-08
6.785106852228204e-12,2.2830727721656227e-05,4.861880232150647e-12,1.5540044641923457e-06,3.701918427128322e-09
1.622336125857915e-08,1.4447604149762228e-05,6.736996058936735e-09,3.81204493150571e-07,4.070322157835849e-06
3.436872251230545e-07,1.5128860029164753e-05,1.3501180164075606e-07,3.3456976459788326e-16,2.484247010620802e-08
4.121258440842828e-27,6.953058790240991e-06,1.6575891243858992e-30,1.6066167367502693e-06,9.243887347946672e-16
1.0233443017815173e-08,2.3108491975085663e-05,3.0892492530096677e-09,3.5915377889822072e-06,5.616495151344944e-09
5.559372536806877e-07,1.1698956330687448e-05,7.263139392269862e-07,3.867136077783214e-06,3.764782306820931e-08
3.5843389451159726e-07,1.5304737909376636e-05,1.2910185890178053e-06,2.9205958461065336e-09,1.7106211312567816e-08
4.632363375274416e-11,1.5341357185666716e-05,2.192441009262566e-13,4.4381324044844965e-15,6.277471546740942e-08
3.512995075185675e-06,1.90137682464921e-05,6.395904233768879e-07,7.598790836486747e-07,7.42938290093447e-07
1.357325504423175e-16,1.779078573472781e-05,2.768897385037967e-17,5.249450318623552e-11,8.986285969380333e-10
3.741264050763677e-16,1.2039321099279992e-05,1.3390884056396443e-19,7.31399107568731e-19,3.0931591339680025e-09
8.652952687212785e-16,1.100033240284274e-05,7.826173739128057e-18,1.7330977321433044e-06,1.9999801697774548e-07
8.410733562130932e-10,2.3406101427238915e-05,1.492916057461632e-10,1.0481395197201767e-08,1.4437452686230211e-07
5.868063141013292e-16,2.2028536988583367e-05,1.6400764452910174e-17,3.323869041589428e-08,2.1083136901635317e-12
1.8374636015256242e-06,2.0595753436746195e-05,1.9862887190921704e-08,2.0758737182738728e-07,5.079504631795119e-08
4.596965412570171e-16,1.4672367492317802e-05,9.030511031904495e-20,3.3616094450117293e-06,3.4792295465616196e-11
2.3937259190110624e-11,2.0737760964126833e-05,2.3273279938539576e-12,1.1758012402664777e-06,1.2047130737682578e-10
2.547307333149254e-20,7.329756086097997e-06,2.698688523624889e-22,8.981308830002522e-07,3.375157980050965e-17
7.549299222027443e-07,2.4533599487797576e-05,5.6286698890752066e-08,1.0571909133223701e-07,1.382944383891487e-07
1.845054379762142e-11,1.8384433646723682e-05,7.51607681506933e-13,1.6162828961276857e-06,2.2517790124425096e-08
2.054696916813396e-15,1.8667098683552916e-05,4.3551441426888185e-17,3.1102309372856606e-07,3.015418334130859e-09
7.191909406469311e-07,2.2324275987947124e-05,2.8790569177612705e-07,1.1787670560004186e-06,3.954882905221357e-08
