,0,1,2
400,123.375,110.014,150.0
401,34.75,37.375,37.0
402,14.0,6.25,12.0
403,62.875,52.458,70.0
404,12.028,8.847,15.0
405,19.5,18.333,27.0
406,20.125,7.875,17.0
407,77.125,68.375,124.0
408,39.625,30.903,35.0
409,8.583,8.75,13.0
410,40.75,30.625,40.0
411,24.75,17.375,25.0
412,17.125,12.375,19.0
413,50.25,39.25,46.0
414,24.875,21.5,20.0
415,26.5,24.875,16.0
416,2.125,1.25,4.0
417,32.625,22.875,14.0
418,9.5,7.875,9.0
419,17.375,14.875,21.0
420,24.375,14.875,18.0
421,43.25,27.75,35.0
422,25.875,21.875,26.0
423,32.5,17.625,30.0
424,18.25,15.625,17.0
425,42.875,27.75,39.0
426,40.75,35.75,67.0
427,22.5,13.875,16.0
428,11.5,14.0,15.0
429,9.125,9.5,14.0
430,19.5,15.125,35.0
431,18.5,13.5,43.0
432,23.125,17.25,23.0
433,20.5,10.636,30.0
434,36.875,28.375,42.0
435,32.125,29.0,77.0
436,11.375,9.875,13.0
437,37.5,22.5,33.0
438,20.0,16.375,23.0
439,29.875,27.75,56.0
440,31.25,25.808,43.0
441,26.125,21.125,24.0
442,74.458,60.75,85.0
443,13.125,11.5,17.0
444,21.625,19.415999999999997,22.0
445,31.125,21.5,27.0
446,40.0,29.625,50.0
447,10.125,7.0,6.0
448,21.0,13.375,24.0
449,0.125,0.375,1.0
450,19.25,15.958,22.0
451,26.875,25.75,29.0
452,29.5,35.25,35.0
453,25.875,24.375,27.0
454,24.25,21.583,23.0
455,22.25,23.583,35.0
456,50.111000000000004,42.375,78.0
457,21.375,15.25,23.0
458,16.875,10.375,16.0
459,45.75,36.25,54.0
460,15.375,11.375,21.0
461,33.375,18.625,32.0
462,14.75,5.5,15.0
463,71.5,50.583,78.0
464,28.5,25.5,30.0
465,10.0,7.875,21.0
466,37.875,32.25,39.0
467,45.0,30.683,47.0
468,24.75,21.5,38.0
469,24.25,18.708,28.0
470,29.25,28.875,38.0
471,44.875,33.916,53.0
472,36.875,17.25,51.0
473,4.0,3.75,6.0
474,26.25,25.125,33.0
475,30.5,18.208,55.0
476,24.5,16.625,25.0
477,8.25,11.125,14.0
478,35.25,24.0,45.0
479,17.0,9.5,13.0
480,24.25,22.5,27.0
481,22.25,15.25,36.0
482,17.0,12.0,21.0
483,16.875,12.0,12.0
484,20.125,15.0,30.0
485,25.875,26.75,42.0
486,9.0,7.875,14.0
487,19.25,13.5,16.0
488,16.375,12.625,12.0
489,8.625,10.125,14.0
490,17.125,12.875,23.0
491,13.125,11.375,17.0
492,40.875,29.125,31.0
493,19.25,16.25,24.0
494,28.875,27.25,38.0
495,15.0,8.0,18.0
496,28.0,23.0,30.0
497,22.875,12.125,28.0
498,29.5,25.25,33.0
499,15.625,9.125,18.0
500,72.625,53.5,61.0
501,14.25,12.625,19.0
502,73.0,59.0,113.0
503,10.0,8.5,12.0
504,26.833,21.5,33.0
505,29.125,14.375,32.0
506,50.875,40.5,52.0
507,58.0,46.0,68.0
508,29.75,28.375,37.0
509,101.5,83.708,133.0
510,7.875,6.125,13.0
511,14.0,15.25,12.0
512,24.375,17.5,33.0
513,15.375,8.75,23.0
514,60.222,46.236,55.0
515,8.125,9.125,13.0
516,12.375,5.208,14.0
517,46.25,32.375,57.0
518,17.375,10.875,22.0
519,52.375,46.625,67.0
520,28.75,27.75,28.0
521,12.25,14.583,7.0
522,23.0,16.375,37.0
523,21.375,19.125,23.0
524,16.125,9.875,18.0
525,42.375,37.875,52.0
526,53.0,39.5,57.0
527,11.875,8.75,17.0
528,6.25,4.958,5.0
529,37.0,31.5,26.0
530,28.875,23.75,40.0
531,48.5,35.375,59.0
532,51.875,43.375,49.0
533,31.625,25.875,50.0
534,42.875,36.875,57.0
535,6.25,4.958,5.0
536,17.375,14.125,19.0
537,2.375,0.708,4.0
538,11.0,7.0,6.0
539,28.875,22.083,44.0
540,11.25,9.25,11.0
541,17.5,10.25,23.0
542,10.625,11.625,16.0
543,37.375,23.875,42.0
544,9.25,7.375,5.0
545,15.5,11.25,16.0
546,47.375,33.0,48.0
547,18.125,15.75,15.0
548,29.5,31.468999999999998,38.0
549,21.5,12.5,30.0
550,21.375,16.153,20.0
551,11.125,10.125,10.0
552,11.5,9.749,8.0
553,32.681,19.069000000000003,41.0
554,17.75,15.5,37.0
555,17.875,16.875,27.0
556,2.25,1.5,2.0
557,11.625,7.25,13.0
558,14.625,16.0,26.0
559,29.375,22.5,27.0
560,9.125,7.458,9.0
561,3.375,1.625,3.0
562,22.0,13.5,16.0
563,9.125,7.125,12.0
564,83.0,48.958,90.0
565,4.0,2.25,4.0
566,6.5,5.5,14.0
567,4.75,3.625,8.0
568,4.0,2.875,4.0
569,10.375,7.5,18.0
570,53.75,41.875,57.0
571,3.625,2.375,9.0
572,35.125,33.333,47.0
573,6.375,3.75,6.0
