0,1,2,3,4
2.5343012207444773e-09,2.0019500263811908e-07,4.5952883848750745e-09,1.0925375456421206e-08,1.7178156973830538e-07
2.17963473251231e-14,2.011188497566792e-07,1.314111125321976e-12,6.603140502685365e-08,8.509083795810117e-09
5.944008603521125e-08,1.322378640056365e-07,7.353922199972454e-09,6.395580223193406e-09,1.3533760576923484e-07
1.0417983656231332e-12,5.6165992888344404e-08,5.850486162181268e-12,3.813296517961809e-08,1.9748418767755924e-07
6.0567515947860865e-09,4.970595087685464e-08,7.192742039969494e-08,8.986900688688875e-09,1.1058726225738686e-07
4.872782829572557e-08,2.1368362157458924e-08,3.9446210984380487e-10,6.179696234309553e-08,1.60154182008554e-07
5.1386980999352066e-08,5.5265612048746636e-08,9.886409662394247e-09,2.397098560130638e-08,1.2838352155613081e-07
5.204488190568441e-13,1.6506122869375696e-08,1.1119697710687393e-10,1.420428070425164e-09,1.563748290535101e-07
6.5305256609834e-08,3.015435967575499e-08,5.2172970140536415e-09,1.4305225326820573e-10,6.424617450144314e-09
1.1231866458437776e-07,3.215503654055303e-08,1.1172821541555357e-09,7.368811562116666e-09,1.305103070672786e-07
3.076598863021824e-08,9.608223942359646e-08,5.187034432254613e-08,3.188013047670429e-08,9.156062062667897e-08
5.873296044696867e-09,2.549269004032205e-08,1.3704708837384561e-08,1.2839612709570542e-07,8.239933197660336e-08
1.413073506626637e-15,9.025224262671975e-08,9.637040858015283e-14,7.800613766538602e-10,1.1280646215309087e-07
1.415125175839019e-08,2.9143986076645277e-08,1.743095449011897e-09,6.489253652201212e-08,2.3067719837938846e-07
9.154618150669934e-24,8.076113784774449e-08,3.676203001821989e-20,8.606614697534046e-08,2.2876389028806476e-07
7.715809158581318e-08,3.0155133329914774e-08,8.402302389713172e-09,9.583224792243025e-08,8.630942950657322e-08
2.9215376206414003e-08,3.706622749418666e-08,3.619333407575362e-08,2.1035410015277915e-08,1.8955986109770367e-07
1.8311109182904527e-09,9.074989793648195e-08,9.678713143280972e-10,1.0409223087412017e-08,2.1307300232438702e-07
1.8300172698169233e-09,7.753856797037167e-08,1.00852720133864e-10,6.968385638480249e-08,1.6522123710653814e-07
1.484115848386617e-29,2.8684674506093948e-08,2.340227193757389e-23,2.456053963522553e-09,2.5529256912487183e-07
2.1722978773998886e-08,1.3787044201929932e-08,1.5098314933944529e-09,1.3287859900912525e-07,2.4275187637353984e-07
8.315061508687726e-09,5.816263297157999e-08,3.3741175216780553e-10,1.1968256073358145e-07,2.6117337552971007e-07
3.552665209491807e-08,1.5260713518793784e-07,5.699254338272993e-10,2.152412285008852e-08,1.401431475501011e-07
3.687700789490355e-08,1.405466628579205e-07,4.964503269640269e-09,8.271952368723953e-08,1.1593736768061876e-07
9.03260728827337e-09,1.3532175744889699e-07,2.1999416066262852e-08,2.4518670148985505e-08,1.192091327821219e-07
2.211125720217152e-10,2.252481502208077e-07,7.05584799016775e-09,2.9428043440214462e-08,1.1874790286373522e-07
1.3077403551965109e-08,1.7233406675671334e-07,5.128444411565316e-09,1.3812501615408425e-08,8.03188238784108e-08
2.4551420632977664e-19,1.0605063991230862e-07,1.3274426920396091e-16,1.0993970712613133e-08,1.6090786818229591e-07
4.005472084721489e-09,1.0699284708651144e-07,2.588749338739326e-08,3.321179624942385e-08,1.0303471665229307e-07
5.8938690176659583e-08,1.0443065124417172e-07,2.5443731183680655e-09,2.2358332741133686e-08,1.7320888160953917e-07
1.3765927857323629e-08,9.32350431286091e-08,1.4273326506352068e-08,1.3289242422768293e-07,1.4841643187339367e-07
3.141740293484286e-08,9.990533098505808e-08,6.019846118702736e-09,2.499985715462508e-08,1.7201563611333814e-07
8.904116469349084e-18,1.2660913525777672e-07,8.379878312427724e-15,2.65279216583621e-08,1.0186618213051422e-07
2.0386994079106113e-11,1.4358702270052883e-07,5.386347919299839e-12,5.19460166492853e-08,1.9074946731684777e-07
1.8468936799692875e-09,1.1436252103801304e-07,1.2490578947289625e-08,2.926737507885563e-07,1.444317600848926e-08
1.7799446612488445e-08,1.4677625862282293e-07,2.7992935395879504e-10,1.5109229698018383e-07,1.2070362122708974e-07
8.904045835501124e-09,9.870981074628469e-08,3.714182478543695e-10,2.8866800953296313e-08,1.8563827020806436e-07
9.483235622343156e-08,1.1834123878319538e-08,6.339402505121289e-10,1.9625661805384742e-08,2.091793573110674e-07
3.050456181469536e-11,1.7806700244046614e-07,1.348095422054002e-10,1.0610630238018137e-08,8.045775732078543e-08
